10
100.00 105.00 120.00
2.50 3.00 1.50
7.00 5.00 4.00
3.25 2.75 1.57
2.50 2.35 2.40
0.00 1.50 2.00
0.00 0.00 0.00
4.25 2.75 3.25
1.25 1.00 1.35
5.25 1.25 6.00
2.00 1.00 3.00

//Taupymas, KTU 2013-2014 m.m. psl. 38-39
//Rūtos Šliažkaitės sprendimas
//Taupymas. Trys klasės draugai: Simas, Linas ir Mantas dalyvavo mokykloje organizuotoje
//paskaitoje „Kaip taupyti pinigus?“. Paskaitoje jie sužinojo, kad daugiau pinigų galima turėti trim
//būdais: daugiau uždirbti, priversti pinigus dirbti arba tiesiog mažiau išleisti. Pirmieji du punktai
//reikalauja naujų įgūdžių ir žymiai daugiau pastangų, tuo tarpu taupymas yra paprastas metodas,
//kurio efektyvumą apriboja tik gaunamų pajamų suma, todėl draugai daug negalvoję nutarė
//taupyti.
//Visiems trims vaikinams pirmąją mėnesio dieną tėvai duoda pinigų: Simas – gauna a litų, Linas
//– b litų, Mantas – c litų. Kiekvieną dieną vaikinai tam tikrą sumą pinigų išleidžia. Išlaidas
//kruopščiai fiksuoja taupymo žurnale.
//Parašykite programą, kuri:
//apskaičiuotų kiekvieno mokinio išlaidas per k dienų;
//kiek kiekvienas vaikinas vidutiniškai išleidžia pinigų per vieną dieną;
//kokią pinigų sumą išleido kiekvienas per k dienų;
//kiek buvo dienų iš viso, kai vaikinai išleido daugiau pinigų už vidutines dienos išlaidas
//(skaičiuojama bendra dienų suma: pirmo vaikino dienų skaičius + antro vaikino dienų
//skaičius + trečio vaikino dienų skaičius).
//Duomenų faile Duomenys.txt:
//pirmoje eilutėje įrašytas dienų kiekis k,
//antroje eilutėje trys realieji skaičiai – kiekvieno vaikino turima pinigų suma litais;
//likusiose k eilučių – kiekvieno vaikino išleidžiami pinigai per dieną (realieji skaičiai).
//Rezultatų faile Rezultatai.txt įrašykite:
//kiekvieno vaikino išleistą pinigų sumą per k dienų;
//kiekvieno vaikino vidutiniškai išleidžiamą pinigų sumą per dieną;
//kiek pinigų liko kiekvienam vaikinui;
//kiek buvo dienų, kai vaikinai išleido daugiau už vidutines dienos išlaidas.
//Reikalavimai programai:
//1. naudokite realiųjų skaičių masyvus;
//2. sukurkite pradinių duomenų skaitymo procedūrą (funkciją void C++);
//3. sukurkite funkciją, skaičiuojančią kiek pinigų išleido kiekvienas vaikinas;
//4. sukurkite funkciją, skaičiuojančią kiek vidutiniškai pinigų išleidžia kiekvienas vaikinas
//per dieną;
//5. sukurkite funkciją, kuri apskaičiuotų kiek pinigų liko kiekvienam vaikinui;
//6. sukurkite funkciją, kuri apskaičiuotų kiek kartų visi vaikinai išleido daugiau pinigų už
//vidutines dienos išlaidas;
//7. sukurkite rezultatų rašymo į failą procedūrą (funkciją void C++).
